Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte
FERIA JUDICIAL,524226,Norma Civil,2002-09-30 16:14:09,Expediente 294,APELADO,Media,Moderado,Agostina,Corte Suprema,2026-05-29 15:29:19,En Proceso,7,1646141.13,1120126.23,Empresa,403,PAZ TERCERA,Caso relacionado 294,DR. PAREDES
EN TRÁMITE,621863,Norma Civil,2021-06-30 23:26:33,Expediente 295,FERIA JUDICIAL,Alta,Alto,Agostina,Corte Suprema,2028-06-09 21:15:15,En Proceso,4,3688290.75,3723035.66,Empresa,58,PAZ TERCERA,Caso relacionado 295,DR. PAREDES
FERIA JUDICIAL,221999,Norma Laboral,2007-11-14 6:10:13,Expediente 296,FERIA JUDICIAL,Media,Bajo,Andres,Segunda Instancia,2030-11-07 14:37:43,En Proceso,5,193197.59,103454.4,Empresa,521,COMERCIAL 1,Caso relacionado 296,DR. PAREDES
FERIA JUDICIAL,214793,Norma Comercial,2005-11-20 12:48:11,Expediente 297,EN TRÁMITE,Media,Moderado,Andres,Segunda Instancia,2030-09-29 8:03:36,En Proceso,7,2379097.34,2788272.51,Persona Física,1328,COMERCIAL 1,Caso relacionado 297,DR. URQUIZA
APELADO,557373,Norma Laboral,2022-08-06 14:38:57,Expediente 298,FERIA JUDICIAL,Baja,Moderado,Mariana,Primera Instancia,2028-05-29 6:56:44,Favorable,8,1688253.74,2902678.93,Empresa,1139,CIVIL 2,Caso relacionado 298,DR. PAREDES
TERMINADO,470321,Norma Comercial,2009-01-31 17:46:46,Expediente 299,TERMINADO,Alta,Bajo,Laura,Primera Instancia,2026-02-23 18:59:29,En Proceso,9,4603474.07,3346332.42,Organismo Público,210,PAZ TERCERA,Caso relacionado 299,DR. URQUIZA
FERIA JUDICIAL,112289,Norma Civil,2015-06-11 18:43:27,Expediente 300,APELADO,Baja,Bajo,Agostina,Corte Suprema,2027-07-19 8:30:29,Desfavorable,6,69895.11,3897885.05,Persona Física,1065,CIVIL 2,Caso relacionado 300,DR. URQUIZA
APELADO,800336,Norma Civil,2014-08-02 21:49:54,Expediente 301,FERIA JUDICIAL,Baja,Alto,Mariana,Corte Suprema,2025-06-30 17:23:34,Favorable,6,2768546.23,3902529.67,Persona Física,816,CIVIL 2,Caso relacionado 301,DR. PAREDES
TERMINADO,798956,Norma Comercial,2015-05-24 6:25:48,Expediente 302,FERIA JUDICIAL,Media,Alto,Belén,Primera Instancia,2025-02-25 6:46:55,Desfavorable,8,3705911.27,265780.65,Persona Física,173,LABORAL 5,Caso relacionado 302,DR. URQUIZA
EN TRÁMITE,855801,Norma Civil,2021-04-01 22:09:06,Expediente 303,EN TRÁMITE,Alta,Moderado,Belén,Primera Instancia,2025-11-11 21:04:44,En Proceso,8,2430239.76,3288248.09,Persona Física,234,PAZ TERCERA,Caso relacionado 303,DR. PAREDES
APELADO,357368,Norma Comercial,2020-01-12 16:08:58,Expediente 304,TERMINADO,Media,Bajo,Mariana,Segunda Instancia,2027-12-28 8:48:58,Conciliación,2,436161.12,2587008.18,Organismo Público,793,PAZ TERCERA,Caso relacionado 304,DR. PAREDES
APELADO,186365,Norma Penal,2003-08-30 10:18:25,Expediente 305,FERIA JUDICIAL,Alta,Bajo,Agostina,Primera Instancia,2027-08-11 19:27:11,Desfavorable,5,4862582.34,2591131.83,Empresa,1908,LABORAL 5,Caso relacionado 305,DRA. CINTIA FIAD
TERMINADO,854950,Norma Laboral,2022-12-24 18:54:34,Expediente 306,EN TRÁMITE,Baja,Bajo,Mariana,Primera Instancia,2029-02-19 18:19:38,En Proceso,9,2594872.05,517757.96,Organismo Público,1614,CIVIL 2,Caso relacionado 306,DR. PAREDES
EN TRÁMITE,275211,Norma Penal,2000-12-16 12:17:41,Expediente 307,FERIA JUDICIAL,Alta,Moderado,Agostina,Corte Suprema,2030-01-06 1:22:11,Desfavorable,5,3074789.36,2602497.73,Empresa,1644,PAZ TERCERA,Caso relacionado 307,DRA. CINTIA FIAD
APELADO,279785,Norma Comercial,2019-02-24 19:23:12,Expediente 308,EN TRÁMITE,Media,Bajo,Andres,Primera Instancia,2026-10-25 7:30:28,En Proceso,8,1190682.82,3930017.91,Organismo Público,793,CIVIL 2,Caso relacionado 308,DR. URQUIZA
FERIA JUDICIAL,172588,Norma Laboral,2013-05-09 4:55:55,Expediente 309,EN TRÁMITE,Media,Bajo,Mariana,Corte Suprema,2026-03-10 1:20:39,En Proceso,3,2422655.44,3647715.19,Persona Física,1427,LABORAL 5,Caso relacionado 309,DRA. CINTIA FIAD
FERIA JUDICIAL,163646,Norma Comercial,2004-07-17 12:11:34,Expediente 310,TERMINADO,Media,Moderado,Agostina,Primera Instancia,2025-05-18 22:17:22,En Proceso,3,2151455.96,1759326.99,Persona Física,1063,COMERCIAL 1,Caso relacionado 310,DR. URQUIZA
FERIA JUDICIAL,365798,Norma Laboral,2015-06-22 17:10:31,Expediente 311,FERIA JUDICIAL,Alta,Alto,Mariana,Segunda Instancia,2029-03-20 2:22:05,Conciliación,7,383730.25,164592.15,Organismo Público,119,CIVIL 2,Caso relacionado 311,DR. PAREDES
EN TRÁMITE,582238,Norma Laboral,2019-08-06 18:24:36,Expediente 312,TERMINADO,Baja,Alto,Mariana,Primera Instancia,2025-08-30 22:00:06,Desfavorable,7,539740.16,1452362.49,Organismo Público,335,PAZ TERCERA,Caso relacionado 312,DR. URQUIZA
APELADO,905175,Norma Laboral,2020-12-30 22:11:07,Expediente 313,EN TRÁMITE,Baja,Moderado,Agostina,Primera Instancia,2027-03-19 11:11:26,Favorable,3,4188987.87,3306429.29,Empresa,1360,COMERCIAL 1,Caso relacionado 313,DR. URQUIZA
FERIA JUDICIAL,934800,Norma Laboral,2009-07-30 11:38:23,Expediente 314,APELADO,Alta,Bajo,Agostina,Primera Instancia,2030-10-13 4:34:21,Favorable,8,1206701.56,2807488.91,Organismo Público,1563,CIVIL 2,Caso relacionado 314,DR. PAREDES
EN TRÁMITE,845385,Norma Comercial,2020-09-13 3:28:42,Expediente 315,FERIA JUDICIAL,Media,Moderado,Laura,Corte Suprema,2030-08-14 22:37:57,Favorable,8,982841.77,1840077.9,Organismo Público,1640,CIVIL 2,Caso relacionado 315,DR. URQUIZA
FERIA JUDICIAL,829532,Norma Laboral,2008-08-05 19:11:32,Expediente 316,APELADO,Baja,Alto,Mariana,Segunda Instancia,2026-07-03 7:47:27,Favorable,7,2529508.14,225130.63,Empresa,1098,COMERCIAL 1,Caso relacionado 316,DR. PAREDES
TERMINADO,219735,Norma Laboral,2006-08-12 14:02:05,Expediente 317,FERIA JUDICIAL,Media,Alto,Belén,Primera Instancia,2028-10-09 5:57:36,En Proceso,4,3846048.19,1710444.44,Empresa,1215,COMERCIAL 1,Caso relacionado 317,DRA. CINTIA FIAD
APELADO,255683,Norma Penal,2015-09-10 11:53:41,Expediente 318,TERMINADO,Alta,Moderado,Mariana,Corte Suprema,2030-06-15 4:39:08,Desfavorable,8,319113.13,1878754.63,Empresa,324,COMERCIAL 1,Caso relacionado 318,DR. PAREDES
APELADO,732259,Norma Civil,2011-05-12 0:31:49,Expediente 319,TERMINADO,Media,Moderado,Mariana,Segunda Instancia,2028-05-15 23:25:10,Desfavorable,3,2888271.52,3714579.35,Organismo Público,1011,PAZ TERCERA,Caso relacionado 319,DR. PAREDES
EN TRÁMITE,636437,Norma Civil,2014-07-18 17:34:10,Expediente 320,TERMINADO,Baja,Alto,Agostina,Corte Suprema,2025-04-28 18:53:48,Conciliación,5,604860.11,2566138.98,Empresa,1171,PAZ TERCERA,Caso relacionado 320,DR. URQUIZA
EN TRÁMITE,462246,Norma Penal,2018-01-08 10:53:19,Expediente 321,TERMINADO,Baja,Moderado,Mariana,Corte Suprema,2029-02-11 18:53:58,Desfavorable,8,191940.64,1250053.4,Persona Física,1791,CIVIL 2,Caso relacionado 321,DRA. CINTIA FIAD
APELADO,421333,Norma Penal,2016-01-05 2:44:24,Expediente 322,TERMINADO,Media,Alto,Mariana,Segunda Instancia,2025-03-05 4:31:41,Desfavorable,9,273192.32,2103646.47,Persona Física,284,CIVIL 2,Caso relacionado 322,DR. PAREDES
FERIA JUDICIAL,863264,Norma Comercial,2007-04-18 15:30:19,Expediente 323,APELADO,Alta,Moderado,Belén,Primera Instancia,2026-04-22 0:55:59,Desfavorable,8,4172478.9,268890.95,Persona Física,213,LABORAL 5,Caso relacionado 323,DRA. CINTIA FIAD
FERIA JUDICIAL,957463,Norma Comercial,2000-09-15 19:55:25,Expediente 324,TERMINADO,Media,Moderado,Agostina,Corte Suprema,2025-02-16 10:53:02,Conciliación,4,598682.69,3890410.1,Organismo Público,1659,PAZ TERCERA,Caso relacionado 324,DRA. CINTIA FIAD
TERMINADO,666956,Norma Comercial,2009-06-25 3:45:58,Expediente 325,EN TRÁMITE,Alta,Moderado,Mariana,Corte Suprema,2029-05-06 16:43:23,Favorable,7,235305.31,1443439.31,Persona Física,1742,CIVIL 2,Caso relacionado 325,DR. URQUIZA
FERIA JUDICIAL,506889,Norma Penal,2022-10-31 10:38:54,Expediente 326,EN TRÁMITE,Media,Alto,Andres,Primera Instancia,2027-08-04 9:45:12,Desfavorable,8,2195120.44,1914080.08,Organismo Público,929,COMERCIAL 1,Caso relacionado 326,DR. PAREDES
EN TRÁMITE,712492,Norma Penal,2016-08-30 5:19:48,Expediente 327,APELADO,Baja,Moderado,Laura,Primera Instancia,2028-02-26 18:40:53,Conciliación,6,4221527.42,1424359.48,Organismo Público,752,COMERCIAL 1,Caso relacionado 327,DR. URQUIZA
EN TRÁMITE,311830,Norma Laboral,2022-11-08 8:21:40,Expediente 328,FERIA JUDICIAL,Alta,Alto,Belén,Segunda Instancia,2030-11-28 7:17:02,Conciliación,2,1319417.8,2731634.36,Persona Física,1418,PAZ TERCERA,Caso relacionado 328,DR. PAREDES
FERIA JUDICIAL,296501,Norma Comercial,2018-04-30 13:05:16,Expediente 329,EN TRÁMITE,Alta,Alto,Mariana,Segunda Instancia,2028-05-17 5:17:21,En Proceso,3,2114345.96,2650617.47,Empresa,339,COMERCIAL 1,Caso relacionado 329,DRA. CINTIA FIAD
EN TRÁMITE,516885,Norma Comercial,2009-12-08 9:45:05,Expediente 330,FERIA JUDICIAL,Alta,Moderado,Andres,Segunda Instancia,2025-10-14 10:23:00,Conciliación,9,209213.44,2862712.63,Organismo Público,1822,LABORAL 5,Caso relacionado 330,DR. PAREDES
APELADO,265140,Norma Comercial,2022-08-02 15:53:39,Expediente 331,APELADO,Baja,Moderado,Mariana,Primera Instancia,2030-07-28 20:17:48,Favorable,9,2250901.79,1076232.2,Persona Física,1046,CIVIL 2,Caso relacionado 331,DR. PAREDES
APELADO,844149,Norma Civil,2017-12-15 3:56:21,Expediente 332,FERIA JUDICIAL,Media,Alto,Mariana,Corte Suprema,2027-08-16 16:11:06,Desfavorable,9,2892289.27,1266095.58,Organismo Público,1795,CIVIL 2,Caso relacionado 332,DRA. CINTIA FIAD
FERIA JUDICIAL,240507,Norma Laboral,2024-02-27 1:26:54,Expediente 333,FERIA JUDICIAL,Baja,Alto,Agostina,Corte Suprema,2028-09-05 12:43:31,Conciliación,6,2858826.2,505378.67,Empresa,1893,CIVIL 2,Caso relacionado 333,DRA. CINTIA FIAD
APELADO,325160,Norma Comercial,2021-04-01 11:08:42,Expediente 334,FERIA JUDICIAL,Alta,Bajo,Agostina,Segunda Instancia,2027-09-17 9:05:26,Favorable,9,1668809.19,2623762.34,Empresa,105,PAZ TERCERA,Caso relacionado 334,DR. PAREDES
APELADO,283321,Norma Comercial,2022-01-29 15:59:50,Expediente 335,FERIA JUDICIAL,Media,Alto,Agostina,Primera Instancia,2030-08-22 22:53:27,Conciliación,9,1584510.57,163989.52,Persona Física,1490,COMERCIAL 1,Caso relacionado 335,DR. URQUIZA
TERMINADO,661672,Norma Comercial,2017-09-01 16:59:43,Expediente 336,APELADO,Baja,Bajo,Andres,Corte Suprema,2030-03-17 11:54:39,Conciliación,7,542051.86,2392740.93,Organismo Público,1483,LABORAL 5,Caso relacionado 336,DR. PAREDES
TERMINADO,621998,Norma Civil,2001-09-18 17:21:30,Expediente 337,EN TRÁMITE,Alta,Bajo,Mariana,Segunda Instancia,2029-01-22 9:42:18,Conciliación,5,1840323.62,3479435.06,Organismo Público,1456,PAZ TERCERA,Caso relacionado 337,DRA. CINTIA FIAD
APELADO,706217,Norma Civil,2008-02-18 11:18:48,Expediente 338,TERMINADO,Alta,Bajo,Laura,Corte Suprema,2027-03-17 7:26:34,Conciliación,2,506478.4,3563874.43,Organismo Público,770,CIVIL 2,Caso relacionado 338,DR. URQUIZA
FERIA JUDICIAL,700441,Norma Penal,2012-08-29 13:41:22,Expediente 339,FERIA JUDICIAL,Baja,Moderado,Belén,Corte Suprema,2025-01-02 12:38:56,Conciliación,6,3835313.76,1798905.85,Organismo Público,716,LABORAL 5,Caso relacionado 339,DRA. CINTIA FIAD
TERMINADO,859416,Norma Laboral,2003-09-24 1:01:20,Expediente 340,EN TRÁMITE,Baja,Moderado,Agostina,Primera Instancia,2026-11-09 18:01:24,Favorable,2,4831708.75,1839918.23,Persona Física,1846,CIVIL 2,Caso relacionado 340,DRA. CINTIA FIAD
EN TRÁMITE,175388,Norma Penal,2003-12-30 16:48:03,Expediente 341,EN TRÁMITE,Baja,Alto,Agostina,Primera Instancia,2028-05-09 17:08:46,Desfavorable,3,4850671.54,312491.89,Empresa,1798,CIVIL 2,Caso relacionado 341,DR. URQUIZA
EN TRÁMITE,655689,Norma Laboral,2009-12-05 18:48:51,Expediente 342,APELADO,Alta,Bajo,Mariana,Corte Suprema,2026-05-24 8:46:26,Desfavorable,7,4326704.79,2684706.28,Persona Física,1643,PAZ TERCERA,Caso relacionado 342,DRA. CINTIA FIAD
EN TRÁMITE,618727,Norma Civil,2019-02-02 6:22:25,Expediente 343,EN TRÁMITE,Baja,Moderado,Mariana,Segunda Instancia,2025-08-11 18:26:26,Desfavorable,8,3007952.83,3285931.38,Organismo Público,763,CIVIL 2,Caso relacionado 343,DRA. CINTIA FIAD
FERIA JUDICIAL,827191,Norma Comercial,2010-10-22 7:45:01,Expediente 344,APELADO,Alta,Moderado,Andres,Primera Instancia,2028-02-29 3:30:53,Desfavorable,5,3507319.83,982396.94,Organismo Público,1960,LABORAL 5,Caso relacionado 344,DRA. CINTIA FIAD
APELADO,743791,Norma Penal,2017-07-23 23:21:33,Expediente 345,FERIA JUDICIAL,Baja,Moderado,Andres,Corte Suprema,2026-10-04 3:17:09,Favorable,7,1433176.96,1688097.02,Empresa,1245,CIVIL 2,Caso relacionado 345,DRA. CINTIA FIAD
EN TRÁMITE,332601,Norma Comercial,2011-10-26 20:45:15,Expediente 346,FERIA JUDICIAL,Alta,Moderado,Agostina,Primera Instancia,2029-01-11 8:41:33,En Proceso,2,3157544.4,3356163.15,Organismo Público,379,COMERCIAL 1,Caso relacionado 346,DRA. CINTIA FIAD
FERIA JUDICIAL,227834,Norma Penal,2014-09-21 12:15:24,Expediente 347,TERMINADO,Alta,Moderado,Mariana,Primera Instancia,2030-06-27 7:03:50,En Proceso,6,2283691.25,3509096.27,Persona Física,1246,CIVIL 2,Caso relacionado 347,DRA. CINTIA FIAD
TERMINADO,134084,Norma Civil,2006-04-30 0:27:52,Expediente 348,TERMINADO,Media,Bajo,Laura,Primera Instancia,2025-05-19 0:17:35,Favorable,3,2415266.53,976504.02,Persona Física,1282,PAZ TERCERA,Caso relacionado 348,DRA. CINTIA FIAD
APELADO,351459,Norma Civil,2009-05-26 3:58:43,Expediente 349,TERMINADO,Baja,Bajo,Belén,Corte Suprema,2030-04-06 8:07:03,Favorable,3,3791305.04,2204529.68,Empresa,713,LABORAL 5,Caso relacionado 349,DRA. CINTIA FIAD
TERMINADO,734929,Norma Civil,2022-11-22 15:57:25,Expediente 350,EN TRÁMITE,Baja,Bajo,Mariana,Segunda Instancia,2027-08-23 14:19:56,Conciliación,7,1416772.59,774010.14,Persona Física,1391,PAZ TERCERA,Caso relacionado 350,DRA. CINTIA FIAD
FERIA JUDICIAL,205111,Norma Penal,2005-07-20 20:50:57,Expediente 351,FERIA JUDICIAL,Alta,Bajo,Mariana,Segunda Instancia,2027-09-28 17:59:22,Conciliación,8,1597017.66,412005.66,Persona Física,1794,COMERCIAL 1,Caso relacionado 351,DR. PAREDES
EN TRÁMITE,549042,Norma Laboral,2015-01-27 8:02:13,Expediente 352,APELADO,Alta,Alto,Andres,Segunda Instancia,2026-07-07 2:28:35,Conciliación,6,4623962.54,3644926.4,Persona Física,1373,CIVIL 2,Caso relacionado 352,DR. PAREDES
EN TRÁMITE,529667,Norma Penal,2001-04-21 8:15:55,Expediente 353,TERMINADO,Alta,Bajo,Belén,Primera Instancia,2025-06-11 7:22:10,Desfavorable,8,290559.23,3282927.48,Persona Física,225,PAZ TERCERA,Caso relacionado 353,DRA. CINTIA FIAD
FERIA JUDICIAL,762587,Norma Laboral,2008-10-03 20:40:11,Expediente 354,APELADO,Media,Moderado,Agostina,Corte Suprema,2028-03-28 12:03:16,Conciliación,8,2433315.15,3041339.43,Organismo Público,1738,PAZ TERCERA,Caso relacionado 354,DR. PAREDES
EN TRÁMITE,262982,Norma Penal,2020-08-03 23:09:53,Expediente 355,APELADO,Media,Bajo,Mariana,Primera Instancia,2026-12-20 21:02:00,En Proceso,9,4564875.99,199821.44,Persona Física,738,PAZ TERCERA,Caso relacionado 355,DR. URQUIZA
APELADO,398185,Norma Penal,2009-10-01 2:08:46,Expediente 356,TERMINADO,Alta,Alto,Agostina,Segunda Instancia,2028-01-27 6:48:37,Desfavorable,6,3055711.41,3375696.53,Empresa,236,PAZ TERCERA,Caso relacionado 356,DR. PAREDES
FERIA JUDICIAL,975352,Norma Civil,2020-08-22 10:52:27,Expediente 357,FERIA JUDICIAL,Baja,Moderado,Mariana,Segunda Instancia,2026-03-26 12:17:34,Conciliación,2,2736571.3,1754986.08,Empresa,183,COMERCIAL 1,Caso relacionado 357,DRA. CINTIA FIAD
TERMINADO,427825,Norma Comercial,2008-09-19 11:30:16,Expediente 358,TERMINADO,Baja,Bajo,Agostina,Corte Suprema,2025-09-05 12:16:21,Desfavorable,7,1256223.45,1372868.52,Persona Física,712,COMERCIAL 1,Caso relacionado 358,DRA. CINTIA FIAD
FERIA JUDICIAL,334386,Norma Comercial,2014-09-02 16:20:36,Expediente 359,APELADO,Media,Bajo,Belén,Primera Instancia,2030-08-14 10:28:17,En Proceso,7,1722944.69,2188173.06,Empresa,1893,CIVIL 2,Caso relacionado 359,DR. PAREDES
APELADO,443715,Norma Laboral,2000-08-02 20:19:35,Expediente 360,TERMINADO,Media,Bajo,Andres,Segunda Instancia,2026-11-14 8:10:35,Conciliación,9,4261721.59,369956.2,Persona Física,1782,CIVIL 2,Caso relacionado 360,DRA. CINTIA FIAD
APELADO,296553,Norma Comercial,2009-06-04 16:33:25,Expediente 361,APELADO,Alta,Moderado,Belén,Corte Suprema,2030-03-16 7:27:22,En Proceso,4,2800498.48,3027802.96,Empresa,444,LABORAL 5,Caso relacionado 361,DR. URQUIZA
FERIA JUDICIAL,561792,Norma Penal,2010-08-25 18:59:14,Expediente 362,APELADO,Baja,Moderado,Laura,Primera Instancia,2027-01-11 16:05:27,En Proceso,7,2578563.55,2331828.13,Empresa,1889,COMERCIAL 1,Caso relacionado 362,DR. URQUIZA
FERIA JUDICIAL,601174,Norma Penal,2017-09-01 11:34:35,Expediente 363,TERMINADO,Alta,Alto,Andres,Primera Instancia,2029-06-02 20:35:02,En Proceso,3,506902.77,750427.44,Persona Física,623,PAZ TERCERA,Caso relacionado 363,DRA. CINTIA FIAD
EN TRÁMITE,884625,Norma Civil,2011-08-06 17:09:47,Expediente 364,EN TRÁMITE,Media,Moderado,Belén,Segunda Instancia,2030-10-17 0:59:44,Conciliación,2,89980.5,756987.64,Persona Física,1030,PAZ TERCERA,Caso relacionado 364,DR. URQUIZA
APELADO,751844,Norma Civil,2003-06-18 9:02:21,Expediente 365,TERMINADO,Baja,Moderado,Laura,Segunda Instancia,2025-05-01 5:19:15,Favorable,6,4818789.09,741073.36,Organismo Público,1260,LABORAL 5,Caso relacionado 365,DR. URQUIZA
FERIA JUDICIAL,295246,Norma Comercial,2023-08-25 17:39:37,Expediente 366,EN TRÁMITE,Baja,Bajo,Mariana,Primera Instancia,2026-10-10 0:04:59,Conciliación,7,1891160.97,232724.54,Persona Física,1151,PAZ TERCERA,Caso relacionado 366,DR. PAREDES
FERIA JUDICIAL,650448,Norma Laboral,2015-05-16 10:29:47,Expediente 367,APELADO,Media,Moderado,Mariana,Primera Instancia,2029-08-25 8:22:46,En Proceso,2,3020033.18,2353254.81,Persona Física,1128,LABORAL 5,Caso relacionado 367,DR. URQUIZA
APELADO,346242,Norma Comercial,2010-05-04 21:32:39,Expediente 368,APELADO,Alta,Bajo,Agostina,Segunda Instancia,2027-07-11 13:25:51,Conciliación,9,407778.22,3362190.97,Organismo Público,749,CIVIL 2,Caso relacionado 368,DR. PAREDES
FERIA JUDICIAL,611083,Norma Comercial,2011-11-12 17:09:45,Expediente 369,EN TRÁMITE,Alta,Bajo,Andres,Primera Instancia,2027-05-07 3:40:22,En Proceso,7,3418740.29,74905.36,Persona Física,1939,COMERCIAL 1,Caso relacionado 369,DRA. CINTIA FIAD
EN TRÁMITE,117633,Norma Comercial,2013-09-11 17:11:25,Expediente 370,APELADO,Baja,Moderado,Mariana,Segunda Instancia,2030-05-08 8:00:53,Favorable,6,4663507.88,200773.56,Persona Física,1504,LABORAL 5,Caso relacionado 370,DR. PAREDES
APELADO,903446,Norma Comercial,2023-02-25 15:32:50,Expediente 371,EN TRÁMITE,Media,Alto,Andres,Primera Instancia,2025-11-25 6:21:11,Desfavorable,5,2882569.61,2293217.26,Organismo Público,155,PAZ TERCERA,Caso relacionado 371,DRA. CINTIA FIAD
EN TRÁMITE,966964,Norma Penal,2019-04-28 11:10:43,Expediente 372,EN TRÁMITE,Baja,Alto,Mariana,Segunda Instancia,2029-01-17 15:22:50,Favorable,6,639315.46,3278885.26,Persona Física,257,LABORAL 5,Caso relacionado 372,DRA. CINTIA FIAD
EN TRÁMITE,149104,Norma Laboral,2021-02-21 23:32:49,Expediente 373,APELADO,Media,Moderado,Agostina,Corte Suprema,2029-05-04 8:30:20,Favorable,6,2912790.42,1310321.87,Persona Física,235,CIVIL 2,Caso relacionado 373,DRA. CINTIA FIAD
EN TRÁMITE,963663,Norma Penal,2013-04-30 16:39:04,Expediente 374,FERIA JUDICIAL,Alta,Alto,Belén,Segunda Instancia,2028-06-04 4:55:17,Desfavorable,6,3834072.59,1401709.52,Organismo Público,500,PAZ TERCERA,Caso relacionado 374,DRA. CINTIA FIAD
EN TRÁMITE,168388,Norma Laboral,2015-06-26 21:44:42,Expediente 375,EN TRÁMITE,Media,Bajo,Agostina,Segunda Instancia,2025-06-14 15:04:47,Conciliación,7,2038018.52,2387404.26,Organismo Público,289,CIVIL 2,Caso relacionado 375,DRA. CINTIA FIAD
APELADO,640302,Norma Civil,2020-07-27 14:05:44,Expediente 376,TERMINADO,Alta,Bajo,Laura,Corte Suprema,2027-03-23 4:22:43,Desfavorable,4,4400390.36,1100480.49,Empresa,510,CIVIL 2,Caso relacionado 376,DR. PAREDES
EN TRÁMITE,192578,Norma Comercial,2016-06-16 9:23:59,Expediente 377,TERMINADO,Media,Moderado,Mariana,Primera Instancia,2027-10-02 20:46:37,Conciliación,6,3246927.94,111300.42,Persona Física,1576,LABORAL 5,Caso relacionado 377,DRA. CINTIA FIAD
EN TRÁMITE,789115,Norma Penal,2010-07-07 2:31:27,Expediente 378,APELADO,Baja,Alto,Laura,Corte Suprema,2028-08-01 2:06:58,Conciliación,9,4497252.1,2942237.93,Empresa,1824,CIVIL 2,Caso relacionado 378,DR. URQUIZA
FERIA JUDICIAL,664678,Norma Laboral,2013-12-07 2:04:05,Expediente 379,FERIA JUDICIAL,Alta,Alto,Laura,Segunda Instancia,2026-01-10 4:26:38,En Proceso,3,3121291.5,2504471.4,Empresa,709,PAZ TERCERA,Caso relacionado 379,DR. URQUIZA
APELADO,385855,Norma Civil,2012-06-11 21:10:28,Expediente 380,APELADO,Baja,Bajo,Andres,Primera Instancia,2026-12-19 20:48:57,En Proceso,3,665126.98,2325120.22,Organismo Público,785,CIVIL 2,Caso relacionado 380,DRA. CINTIA FIAD
APELADO,191658,Norma Civil,2007-08-25 12:17:47,Expediente 381,FERIA JUDICIAL,Baja,Moderado,Mariana,Corte Suprema,2030-04-21 18:36:36,Desfavorable,9,1555361.64,2968028.1,Persona Física,894,CIVIL 2,Caso relacionado 381,DR. URQUIZA
TERMINADO,157993,Norma Comercial,2012-10-03 16:59:09,Expediente 382,EN TRÁMITE,Alta,Alto,Laura,Primera Instancia,2025-10-16 12:33:04,Favorable,2,1016956.79,2702547.2,Persona Física,776,LABORAL 5,Caso relacionado 382,DR. PAREDES
APELADO,305768,Norma Laboral,2000-07-16 14:12:42,Expediente 383,EN TRÁMITE,Alta,Moderado,Belén,Primera Instancia,2028-10-09 3:49:36,Desfavorable,4,4545044.22,827498.54,Organismo Público,1593,CIVIL 2,Caso relacionado 383,DR. PAREDES
APELADO,258285,Norma Penal,2018-04-04 5:48:18,Expediente 384,EN TRÁMITE,Baja,Alto,Laura,Corte Suprema,2029-01-21 10:25:11,Conciliación,2,3804396.34,1413161.78,Empresa,298,COMERCIAL 1,Caso relacionado 384,DRA. CINTIA FIAD
TERMINADO,871148,Norma Comercial,2004-03-26 18:21:20,Expediente 385,EN TRÁMITE,Baja,Bajo,Belén,Primera Instancia,2025-05-17 4:16:28,En Proceso,9,3385227.86,508810.02,Organismo Público,1634,LABORAL 5,Caso relacionado 385,DRA. CINTIA FIAD
APELADO,551000,Norma Penal,2017-03-08 15:42:11,Expediente 386,TERMINADO,Baja,Bajo,Andres,Corte Suprema,2025-12-22 14:47:11,Desfavorable,3,1511821.93,523778.77,Persona Física,137,LABORAL 5,Caso relacionado 386,DRA. CINTIA FIAD
APELADO,893853,Norma Civil,2023-12-23 20:01:19,Expediente 387,TERMINADO,Baja,Moderado,Laura,Segunda Instancia,2026-02-13 2:49:22,Desfavorable,8,928383.41,2706402.01,Organismo Público,376,PAZ TERCERA,Caso relacionado 387,DR. URQUIZA
APELADO,842296,Norma Penal,2014-06-22 9:00:17,Expediente 388,APELADO,Alta,Bajo,Agostina,Primera Instancia,2026-01-03 16:04:18,En Proceso,3,3784690.93,3435107.43,Persona Física,87,PAZ TERCERA,Caso relacionado 388,DR. URQUIZA
APELADO,642015,Norma Penal,2010-03-22 10:34:41,Expediente 389,FERIA JUDICIAL,Alta,Alto,Andres,Segunda Instancia,2025-06-15 7:54:10,En Proceso,5,2376048.15,3851116.67,Empresa,1443,PAZ TERCERA,Caso relacionado 389,DR. PAREDES
TERMINADO,998850,Norma Comercial,2008-11-01 4:04:50,Expediente 390,EN TRÁMITE,Baja,Bajo,Belén,Segunda Instancia,2030-08-31 19:06:44,En Proceso,6,1136689.87,2515246.73,Persona Física,1778,PAZ TERCERA,Caso relacionado 390,DR. URQUIZA
APELADO,628646,Norma Penal,2000-07-08 18:01:27,Expediente 391,EN TRÁMITE,Media,Moderado,Andres,Primera Instancia,2027-03-06 23:48:42,Conciliación,8,3086943.67,740484.79,Empresa,1223,COMERCIAL 1,Caso relacionado 391,DR. PAREDES
