Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte,Tiene_Audiencia
TERMINADO,353159,Norma Laboral,2018-08-19 03:04:52,Expediente 286,TERMINADO,Baja,Alto,Agostina,Corte Suprema,2027-09-26 22:22:13,Favorable,4,3787773.0728522153,2185765.2329716114,Persona Física,1509,PAZ TERCERA,Caso relacionado 286,DRA. CINTIA FIAD,1
EN TRÁMITE,538240,Norma Laboral,2012-11-25 06:32:24,Expediente 201,EN TRÁMITE,Alta,Alto,Mariana,Segunda Instancia,2027-04-20 19:28:16,Desfavorable,8,1679223.3842379043,2767718.8000154514,Empresa,904,CIVIL 2,Caso relacionado 201,DRA. CINTIA FIAD,1
EN TRÁMITE,530125,Norma Comercial,2008-12-19 04:38:27,Expediente 484,APELADO,Media,Bajo,Agostina,Segunda Instancia,2029-12-27 04:37:49,Conciliación,3,380092.2059072126,3195760.002054939,Empresa,910,PAZ TERCERA,Caso relacionado 484,DR. URQUIZA,1
FERIA JUDICIAL,727339,Norma Comercial,2027-03-09 19:20:26,Expediente 108,EN TRÁMITE,Alta,Alto,Mariana,Segunda Instancia,2028-03-08 16:19:34,Favorable,9,3932077.180433657,1038503.8784201968,Empresa,102,LABORAL 5,Caso relacionado 108,DRA. CINTIA FIAD,1
FERIA JUDICIAL,696855,Norma Penal,2027-02-11 18:53:04,Expediente 86,TERMINADO,Media,Bajo,Laura,Segunda Instancia,2024-12-27 05:57:18,Favorable,9,1161374.643332079,1570326.568589963,Organismo Público,324,COMERCIAL 1,Caso relacionado 86,DRA. CINTIA FIAD,1
TERMINADO,212737,Norma Comercial,2013-05-19 00:12:08,Expediente 153,EN TRÁMITE,Alta,Bajo,Laura,Corte Suprema,2026-02-03 17:06:27,Desfavorable,5,2444026.310183897,4598040.325199445,Persona Física,216,LABORAL 5,Caso relacionado 153,DRA. CINTIA FIAD,1
APELADO,805824,Norma Civil,2004-02-13 09:13:49,Expediente 9,TERMINADO,Media,Moderado,Andres,Corte Suprema,2025-08-21 12:16:21,Favorable,6,994393.953815646,4880076.678723693,Persona Física,1052,COMERCIAL 1,Caso relacionado 9,DR. PAREDES,1
APELADO,422352,Norma Civil,2025-04-20 03:56:35,Expediente 253,EN TRÁMITE,Baja,Bajo,Laura,Corte Suprema,2027-03-30 22:12:40,En Proceso,9,3376568.3563498883,2035347.778868216,Organismo Público,831,LABORAL 5,Caso relacionado 253,DRA. CINTIA FIAD,1
APELADO,560297,Norma Civil,2003-03-15 12:17:47,Expediente 381,FERIA JUDICIAL,Baja,Moderado,Mariana,Corte Suprema,2030-05-25 18:36:36,Desfavorable,9,1149216.7100475074,2242391.3995480966,Persona Física,965,CIVIL 2,Caso relacionado 381,DR. URQUIZA,1
APELADO,391447,Norma Comercial,2025-05-07 15:53:39,Expediente 331,APELADO,Baja,Moderado,Mariana,Primera Instancia,2032-12-02 20:17:48,Favorable,9,2425021.662882124,970866.4235223626,Persona Física,920,CIVIL 2,Caso relacionado 331,DR. PAREDES,1
TERMINADO,968352,Norma Civil,2014-12-03 06:05:48,Expediente 98,APELADO,Alta,Alto,Belén,Primera Instancia,2025-04-22 20:57:56,Desfavorable,6,706666.8049040273,1888468.992082754,Persona Física,99,CIVIL 2,Caso relacionado 98,DR. URQUIZA,1
APELADO,253124,Norma Penal,2021-06-29 05:48:18,Expediente 384,EN TRÁMITE,Baja,Alto,Laura,Corte Suprema,2028-12-02 10:25:11,Conciliación,2,2960501.33264678,1576021.7769338903,Empresa,251,COMERCIAL 1,Caso relacionado 384,DRA. CINTIA FIAD,1
EN TRÁMITE,298741,Norma Comercial,2007-08-16 12:09:23,Expediente 97,FERIA JUDICIAL,Media,Moderado,Andres,Corte Suprema,2028-08-28 16:47:31,En Proceso,6,1654818.4618961315,3122968.244956769,Organismo Público,2060,LABORAL 5,Caso relacionado 97,DR. PAREDES,1
FERIA JUDICIAL,209383,Norma Comercial,2009-11-08 16:20:36,Expediente 359,APELADO,Media,Bajo,Belén,Primera Instancia,2029-10-17 10:28:17,En Proceso,7,2020895.41375604,2496932.8950871145,Empresa,2024,CIVIL 2,Caso relacionado 359,DR. PAREDES,1
APELADO,248963,Norma Laboral,2006-09-25 13:39:11,Expediente 401,APELADO,Media,Alto,Agostina,Corte Suprema,2026-06-18 20:55:20,Desfavorable,9,1721587.1898119224,3402871.286118006,Persona Física,1966,LABORAL 5,Caso relacionado 401,DR. URQUIZA,1
TERMINADO,564662,Norma Laboral,2005-09-30 21:35:19,Expediente 125,TERMINADO,Baja,Alto,Andres,Primera Instancia,2030-03-08 18:15:18,Favorable,3,1939520.105558879,2934104.55553789,Persona Física,19,LABORAL 5,Caso relacionado 125,DR. URQUIZA,1
EN TRÁMITE,235072,Norma Penal,2005-05-02 16:48:03,Expediente 341,EN TRÁMITE,Baja,Alto,Agostina,Primera Instancia,2029-01-26 17:08:46,Desfavorable,3,5090839.62630184,395590.2320097748,Empresa,2051,CIVIL 2,Caso relacionado 341,DR. URQUIZA,1
EN TRÁMITE,485050,Norma Penal,2021-07-02 11:10:43,Expediente 372,EN TRÁMITE,Baja,Alto,Mariana,Segunda Instancia,2030-08-18 15:22:50,Favorable,6,650527.1253930685,3635713.2833714,Persona Física,210,LABORAL 5,Caso relacionado 372,DRA. CINTIA FIAD,1
APELADO,454511,Norma Civil,2002-12-06 13:17:14,Expediente 170,FERIA JUDICIAL,Alta,Bajo,Mariana,Primera Instancia,2029-07-22 20:42:06,Desfavorable,2,3342146.5409613457,4336282.476116553,Organismo Público,1392,PAZ TERCERA,Caso relacionado 170,DR. PAREDES,1
TERMINADO,168483,Norma Comercial,2016-12-29 15:29:33,Expediente 103,FERIA JUDICIAL,Media,Alto,Agostina,Segunda Instancia,2024-07-09 07:02:51,Desfavorable,6,1126401.1130736745,2196834.7833263134,Persona Física,1384,LABORAL 5,Caso relacionado 103,DR. PAREDES,1
TERMINADO,942546,Norma Laboral,2010-10-14 17:21:07,Expediente 121,EN TRÁMITE,Baja,Moderado,Laura,Corte Suprema,2026-10-11 04:42:52,Favorable,6,1637848.6706059773,600015.8478928937,Empresa,1399,PAZ TERCERA,Caso relacionado 121,DRA. CINTIA FIAD,1
EN TRÁMITE,817834,Norma Penal,2017-09-25 10:49:39,Expediente 486,TERMINADO,Media,Bajo,Laura,Corte Suprema,2029-06-29 18:15:56,En Proceso,9,1995465.566618226,1797803.0807706693,Persona Física,655,LABORAL 5,Caso relacionado 486,DR. URQUIZA,1
TERMINADO,976646,Norma Civil,2001-06-26 18:47:12,Expediente 212,APELADO,Alta,Bajo,Andres,Segunda Instancia,2029-08-23 10:35:23,Conciliación,6,1177125.059583774,920400.1035484276,Organismo Público,637,CIVIL 2,Caso relacionado 212,DRA. CINTIA FIAD,1
TERMINADO,943232,Norma Laboral,2007-08-25 21:35:19,Expediente 125,TERMINADO,Baja,Alto,Andres,Primera Instancia,2032-05-05 18:15:18,Favorable,3,1976981.2739016253,3239221.526107898,Persona Física,18,LABORAL 5,Caso relacionado 125,DR. URQUIZA,1
APELADO,334547,Norma Civil,2003-11-29 10:47:17,Expediente 31,EN TRÁMITE,Baja,Alto,Andres,Primera Instancia,2032-04-24 17:44:15,Conciliación,6,687128.2193375838,2790398.163407313,Persona Física,848,PAZ TERCERA,Caso relacionado 31,DR. URQUIZA,1
FERIA JUDICIAL,986536,Norma Penal,2026-03-16 10:38:54,Expediente 326,EN TRÁMITE,Media,Alto,Andres,Primera Instancia,2029-10-09 09:45:12,Desfavorable,8,2080842.590711928,2188681.496483352,Organismo Público,852,COMERCIAL 1,Caso relacionado 326,DR. PAREDES,1
FERIA JUDICIAL,698487,Norma Laboral,2003-02-06 16:36:10,Expediente 460,TERMINADO,Media,Bajo,Andres,Corte Suprema,2031-01-11 23:02:11,Favorable,3,3450319.04881792,4201973.627882732,Organismo Público,760,PAZ TERCERA,Caso relacionado 460,DRA. CINTIA FIAD,1
EN TRÁMITE,696472,Norma Civil,2011-07-20 20:06:31,Expediente 398,EN TRÁMITE,Media,Alto,Belén,Segunda Instancia,2030-03-08 07:55:06,Conciliación,6,751085.501541936,3443099.040145792,Empresa,1567,PAZ TERCERA,Caso relacionado 398,DRA. CINTIA FIAD,1
TERMINADO,901586,Norma Civil,2023-12-27 03:30:09,Expediente 222,EN TRÁMITE,Alta,Moderado,Belén,Corte Suprema,2026-08-30 14:35:06,Favorable,4,3459806.755100024,2762649.548665566,Organismo Público,1568,COMERCIAL 1,Caso relacionado 222,DR. PAREDES,1
APELADO,296977,Norma Laboral,2009-10-27 15:22:43,Expediente 167,EN TRÁMITE,Media,Moderado,Agostina,Segunda Instancia,2024-09-04 14:42:38,Conciliación,2,5104954.890021995,776558.8388980514,Persona Física,1093,CIVIL 2,Caso relacionado 167,DR. URQUIZA,1
TERMINADO,858468,Norma Comercial,2006-04-05 03:56:06,Expediente 448,TERMINADO,Alta,Bajo,Andres,Corte Suprema,2030-06-15 10:28:53,Conciliación,7,3754209.881275634,1547696.4607225575,Organismo Público,1385,PAZ TERCERA,Caso relacionado 448,DESCONOCIDO,1
TERMINADO,221464,Norma Civil,2007-02-26 18:26:24,Expediente 205,TERMINADO,Baja,Alto,Belén,Segunda Instancia,2029-06-23 07:35:55,Conciliación,5,1637340.1074032076,48343.94486766778,Empresa,655,LABORAL 5,Caso relacionado 205,DR. PAREDES,1
FERIA JUDICIAL,814332,Norma Comercial,2014-07-10 07:45:01,Expediente 344,APELADO,Alta,Moderado,Andres,Primera Instancia,2025-11-23 03:30:53,Desfavorable,5,4052383.255893277,716694.8047872132,Organismo Público,1958,LABORAL 5,Caso relacionado 344,DRA. CINTIA FIAD,1
FERIA JUDICIAL,596395,Norma Comercial,2015-09-23 01:39:09,Expediente 498,FERIA JUDICIAL,Baja,Bajo,Andres,Primera Instancia,2022-10-12 19:30:30,En Proceso,6,2226561.218588185,268741.57732136373,Organismo Público,1384,COMERCIAL 1,Caso relacionado 498,DR. PAREDES,1
FERIA JUDICIAL,140710,Norma Laboral,2026-05-04 19:48:37,Expediente 220,TERMINADO,Alta,Alto,Agostina,Corte Suprema,2024-06-24 00:59:55,En Proceso,3,3291700.9495588564,4716367.258828204,Persona Física,668,CIVIL 2,Caso relacionado 220,DR. PAREDES,1
EN TRÁMITE,863188,Norma Penal,2004-12-12 12:12:02,Expediente 61,APELADO,Baja,Bajo,Agostina,Segunda Instancia,2026-01-21 04:13:36,Favorable,3,4701796.722207686,780131.1597418366,Empresa,2017,COMERCIAL 1,Caso relacionado 61,DRA. CINTIA FIAD,1
FERIA JUDICIAL,193010,Norma Laboral,2015-04-30 02:04:05,Expediente 379,FERIA JUDICIAL,Alta,Alto,Laura,Segunda Instancia,2023-12-03 04:26:38,En Proceso,3,3108359.595905581,2859781.284120948,Empresa,605,PAZ TERCERA,Caso relacionado 379,DR. URQUIZA,1
APELADO,292954,Norma Civil,2020-12-08 16:18:00,Expediente 133,EN TRÁMITE,Alta,Bajo,Laura,Primera Instancia,2027-12-20 12:33:57,Desfavorable,5,787270.7137394114,2881480.724289459,Organismo Público,1898,PAZ TERCERA,Caso relacionado 133,DRA. CINTIA FIAD,1
TERMINADO,859923,Norma Penal,2026-08-18 10:19:39,Expediente 38,APELADO,Media,Alto,Agostina,Corte Suprema,2025-10-28 22:48:25,Favorable,9,5454176.792608977,1153748.1866737965,Persona Física,310,CIVIL 2,Caso relacionado 38,DR. URQUIZA,1
EN TRÁMITE,498698,Norma Comercial,2009-07-26 12:09:23,Expediente 97,FERIA JUDICIAL,Media,Moderado,Andres,Corte Suprema,2025-12-04 16:47:31,En Proceso,6,2115403.7976933755,1817169.25967024,Organismo Público,1839,LABORAL 5,Caso relacionado 97,DR. PAREDES,1
EN TRÁMITE,692936,Norma Penal,2003-11-08 05:43:12,Expediente 259,EN TRÁMITE,Alta,Moderado,Andres,Segunda Instancia,2028-11-23 03:45:12,Favorable,4,3394065.198780636,1960409.12654516,Empresa,1828,COMERCIAL 1,Caso relacionado 259,DR. PAREDES,1
TERMINADO,470081,Norma Civil,2016-06-01 09:03:06,Expediente 479,FERIA JUDICIAL,Baja,Moderado,Laura,Primera Instancia,,Desfavorable,5,1725059.92533912,3091006.838255064,Empresa,59,PAZ TERCERA,Caso relacionado 479,DRA. CINTIA FIAD,0
EN TRÁMITE,905546,Norma Penal,2014-09-30 20:14:47,Expediente 18,EN TRÁMITE,Baja,Alto,Belén,Primera Instancia,2025-06-17 02:57:17,Favorable,2,4175429.613282104,257879.1231955907,Empresa,1574,PAZ TERCERA,Caso relacionado 18,DR. URQUIZA,1
TERMINADO,894227,Norma Civil,2014-04-02 02:30:21,Expediente 437,TERMINADO,Baja,Bajo,Andres,Segunda Instancia,2026-10-12 12:48:58,Conciliación,4,3190980.017256757,3910849.907735108,Organismo Público,1159,COMERCIAL 1,Caso relacionado 437,DR. URQUIZA,1
EN TRÁMITE,700964,Norma Laboral,2013-09-22 06:32:24,Expediente 201,EN TRÁMITE,Alta,Alto,Mariana,Segunda Instancia,2027-02-20 19:28:16,Desfavorable,8,2980716.793581571,2504230.67494498,Empresa,666,CIVIL 2,Caso relacionado 201,DESCONOCIDO,1
FERIA JUDICIAL,664475,Norma Comercial,2024-04-27 19:33:22,Expediente 100,FERIA JUDICIAL,Baja,Bajo,Mariana,Primera Instancia,2026-11-07 20:51:37,Favorable,6,5240734.371328512,564317.5625433679,Empresa,1550,COMERCIAL 1,Caso relacionado 100,DR. PAREDES,1
TERMINADO,153319,Norma Penal,2013-03-17 16:30:10,Expediente 57,TERMINADO,Alta,Alto,Andres,Corte Suprema,2030-04-10 22:09:05,Conciliación,9,2820593.6589101884,352975.1479517964,Empresa,739,PAZ TERCERA,Caso relacionado 57,DR. URQUIZA,1
FERIA JUDICIAL,448746,Norma Civil,2023-03-07 10:49:24,Expediente 412,EN TRÁMITE,Alta,Moderado,Agostina,Corte Suprema,2030-11-01 12:06:02,Conciliación,2,4413553.622103134,2557109.710529996,Empresa,454,CIVIL 2,Caso relacionado 412,DR. PAREDES,1
FERIA JUDICIAL,435045,Norma Comercial,1999-12-12 12:11:34,Expediente 310,TERMINADO,Media,Moderado,Agostina,Primera Instancia,2027-06-07 22:17:22,En Proceso,3,2317376.586666549,2029387.1612101928,Persona Física,1128,COMERCIAL 1,Caso relacionado 310,DR. URQUIZA,1
FERIA JUDICIAL,610879,Norma Civil,2004-07-28 18:57:12,Expediente 95,EN TRÁMITE,Alta,Bajo,Andres,Corte Suprema,2026-10-22 06:21:04,En Proceso,4,1509703.8095187722,2282332.2272029007,Empresa,960,COMERCIAL 1,Caso relacionado 95,DR. PAREDES,1
EN TRÁMITE,215044,Norma Comercial,2021-01-20 11:13:24,Expediente 250,EN TRÁMITE,Media,Moderado,Andres,Corte Suprema,2025-03-25 03:24:33,Conciliación,2,4723530.822078821,2417015.5166563177,Empresa,854,LABORAL 5,Caso relacionado 250,DRA. CINTIA FIAD,1
EN TRÁMITE,632692,Norma Civil,2003-02-18 16:14:13,Expediente 247,EN TRÁMITE,Baja,Bajo,Mariana,Segunda Instancia,2029-11-30 12:05:00,En Proceso,8,154493.3094799777,4038040.633039986,Organismo Público,1355,LABORAL 5,Caso relacionado 247,DR. PAREDES,1
EN TRÁMITE,271317,Norma Civil,2005-10-31 20:49:25,Expediente 143,EN TRÁMITE,Baja,Alto,Agostina,Primera Instancia,2028-10-28 12:24:03,En Proceso,5,2495762.6923998054,2091810.1898175844,Organismo Público,492,COMERCIAL 1,Caso relacionado 143,DR. URQUIZA,1
TERMINADO,738767,Norma Penal,2026-07-08 08:49:57,Expediente 129,EN TRÁMITE,Alta,Moderado,Andres,Corte Suprema,2031-10-02 01:41:18,Conciliación,8,385799.8387536492,1655474.1161131377,Organismo Público,1140,COMERCIAL 1,Caso relacionado 129,DR. PAREDES,1
EN TRÁMITE,265757,Norma Laboral,2016-11-29 19:38:13,Expediente 35,FERIA JUDICIAL,Alta,Moderado,Mariana,Segunda Instancia,2028-07-28 23:38:17,Favorable,7,3349224.1385489367,2016440.123769177,Organismo Público,2012,COMERCIAL 1,Caso relacionado 35,DR. PAREDES,1
FERIA JUDICIAL,590659,Norma Laboral,1998-02-21 21:59:46,Expediente 19,EN TRÁMITE,Baja,Bajo,Laura,Primera Instancia,,En Proceso,3,2337926.946336402,438417.6810863143,Organismo Público,1141,PAZ TERCERA,Caso relacionado 19,DRA. CINTIA FIAD,0
TERMINADO,562130,Norma Laboral,2023-07-04 05:51:10,Expediente 422,TERMINADO,Media,Bajo,Laura,Primera Instancia,2032-06-27 14:12:30,Favorable,7,3047825.006162147,567184.1178216793,Organismo Público,2157,COMERCIAL 1,Caso relacionado 422,DR. PAREDES,1
EN TRÁMITE,448350,Norma Penal,2004-02-20 16:48:03,Expediente 341,EN TRÁMITE,Baja,Alto,Agostina,Primera Instancia,2027-08-04 17:08:46,Desfavorable,3,3552707.0027601584,288962.0929612778,Empresa,1586,CIVIL 2,Caso relacionado 341,DR. URQUIZA,1
EN TRÁMITE,640529,Norma Civil,2026-03-19 22:09:06,Expediente 303,EN TRÁMITE,Alta,Moderado,Belén,Primera Instancia,2023-04-29 21:04:44,En Proceso,8,2891389.0895737526,2915694.892149961,Persona Física,206,PAZ TERCERA,Caso relacionado 303,DR. PAREDES,1
FERIA JUDICIAL,329155,Norma Penal,2025-03-22 18:53:04,Expediente 86,TERMINADO,Media,Bajo,Laura,Segunda Instancia,2024-08-20 05:57:18,Favorable,9,1110482.443091213,1489719.9741592312,Organismo Público,443,COMERCIAL 1,Caso relacionado 86,DRA. CINTIA FIAD,1
TERMINADO,306879,Norma Comercial,2007-02-18 05:28:02,Expediente 419,FERIA JUDICIAL,Media,Alto,Mariana,Corte Suprema,2031-04-05 17:13:10,Desfavorable,3,4196998.139988016,665536.5375216077,Empresa,326,CIVIL 2,Caso relacionado 419,DR. PAREDES,1
EN TRÁMITE,176872,Norma Penal,2013-02-01 21:21:27,Expediente 47,FERIA JUDICIAL,Baja,Alto,Agostina,Segunda Instancia,2027-03-19 05:26:33,En Proceso,3,5132582.708289232,1330030.2485799706,Persona Física,263,PAZ TERCERA,Caso relacionado 47,DR. URQUIZA,1
APELADO,612973,Norma Comercial,2006-12-23 21:07:39,Expediente 392,FERIA JUDICIAL,Media,Moderado,Laura,Corte Suprema,2025-12-05 09:22:19,En Proceso,3,152586.5026138603,527429.59277791,Empresa,1563,LABORAL 5,Caso relacionado 392,DR. URQUIZA,1
TERMINADO,940071,Norma Comercial,2000-04-17 13:03:02,Expediente 239,EN TRÁMITE,Baja,Moderado,Belén,Corte Suprema,2023-12-24 16:46:24,Conciliación,4,960461.6034412208,1063108.3218129512,Organismo Público,920,CIVIL 2,Caso relacionado 239,DR. URQUIZA,1
EN TRÁMITE,591927,Norma Laboral,2010-01-12 19:15:59,Expediente 221,APELADO,Baja,Bajo,Mariana,Corte Suprema,2028-03-24 00:18:10,Conciliación,8,3744791.054572576,679911.2508462644,Organismo Público,1101,LABORAL 5,Caso relacionado 221,DESCONOCIDO,1
EN TRÁMITE,107786,Norma Comercial,2007-11-14 12:09:23,Expediente 97,FERIA JUDICIAL,Media,Moderado,Andres,Corte Suprema,2026-06-29 16:47:31,En Proceso,6,2301207.065759587,2651845.8503929777,Organismo Público,1770,LABORAL 5,Caso relacionado 97,DR. PAREDES,1
EN TRÁMITE,680569,Norma Laboral,2023-01-20 23:32:49,Expediente 373,APELADO,Media,Moderado,Agostina,Corte Suprema,2028-01-09 08:30:20,Favorable,6,3706121.485043244,1246669.924177243,Persona Física,266,CIVIL 2,Caso relacionado 373,DRA. CINTIA FIAD,1
APELADO,308903,Norma Civil,2021-09-11 00:42:31,Expediente 175,TERMINADO,Alta,Bajo,Belén,Corte Suprema,2024-08-11 08:32:30,Conciliación,7,4052346.388306329,364627.8121693766,Persona Física,571,CIVIL 2,Caso relacionado 175,DR. URQUIZA,1
TERMINADO,134428,Norma Civil,2007-03-26 10:00:08,Expediente 128,EN TRÁMITE,Alta,Bajo,Agostina,Primera Instancia,2026-07-27 10:51:49,En Proceso,8,1926227.109810731,1392793.813233157,Persona Física,882,COMERCIAL 1,Caso relacionado 128,DR. URQUIZA,1
EN TRÁMITE,434713,Norma Penal,2017-09-05 04:36:12,Expediente 206,EN TRÁMITE,Alta,Alto,Belén,Corte Suprema,2028-03-06 00:13:40,Desfavorable,2,2717474.388442104,1761185.5467407573,Empresa,972,LABORAL 5,Caso relacionado 206,DR. PAREDES,1
TERMINADO,297776,Norma Civil,2009-04-28 18:47:12,Expediente 212,APELADO,Alta,Bajo,Andres,Segunda Instancia,2031-01-09 10:35:23,Conciliación,6,1449208.2275958776,835234.0888360934,Organismo Público,837,CIVIL 2,Caso relacionado 212,DRA. CINTIA FIAD,1
EN TRÁMITE,156573,Norma Laboral,2010-05-31 09:58:14,Expediente 50,APELADO,Media,Alto,Laura,Segunda Instancia,2027-09-14 20:33:24,Desfavorable,5,1206119.2109590766,1873104.3070062343,Empresa,1068,COMERCIAL 1,Caso relacionado 50,DR. URQUIZA,1
APELADO,957913,Norma Penal,2003-12-26 10:18:25,Expediente 305,FERIA JUDICIAL,Alta,Bajo,Agostina,Primera Instancia,2029-08-27 19:27:11,Desfavorable,5,5820401.116465197,3046953.340704616,Empresa,1566,LABORAL 5,Caso relacionado 305,DESCONOCIDO,1
APELADO,552412,Norma Penal,2019-10-02 01:46:09,Expediente 207,TERMINADO,Alta,Alto,Andres,Segunda Instancia,2026-07-28 17:12:09,En Proceso,7,443645.9004051073,947994.4467681044,Organismo Público,1111,CIVIL 2,Caso relacionado 207,DR. PAREDES,1
APELADO,422246,Norma Penal,2020-10-17 19:36:50,Expediente 64,TERMINADO,Alta,Bajo,Agostina,Primera Instancia,2029-12-06 07:40:36,En Proceso,9,713740.2666214554,1054692.201587369,Persona Física,1364,LABORAL 5,Caso relacionado 64,DR. URQUIZA,1
APELADO,753200,Norma Laboral,2014-05-10 09:09:49,Expediente 74,FERIA JUDICIAL,Alta,Bajo,Agostina,Corte Suprema,2027-08-29 02:54:03,Conciliación,3,172261.28062049058,579905.9021567337,Empresa,1447,CIVIL 2,Caso relacionado 74,DRA. CINTIA FIAD,1
TERMINADO,133140,Norma Comercial,2007-04-18 03:56:06,Expediente 448,TERMINADO,Alta,Bajo,Andres,Corte Suprema,2025-09-27 10:28:53,Conciliación,7,4761257.234502834,1259504.6626086328,Organismo Público,1530,PAZ TERCERA,Caso relacionado 448,DR. URQUIZA,1
FERIA JUDICIAL,928069,Norma Penal,2024-03-27 06:09:02,Expediente 173,FERIA JUDICIAL,Alta,Alto,Laura,Primera Instancia,2029-06-28 22:01:28,En Proceso,4,4774884.622713867,431416.0091230905,Empresa,2001,COMERCIAL 1,Caso relacionado 173,DRA. CINTIA FIAD,1
APELADO,711397,Norma Laboral,2024-04-25 14:38:57,Expediente 298,FERIA JUDICIAL,Baja,Moderado,Mariana,Primera Instancia,2031-01-14 06:56:44,Favorable,8,1626950.4355805437,2640566.423887141,Empresa,1086,CIVIL 2,Caso relacionado 298,DR. PAREDES,1
APELADO,412654,Norma Civil,2028-09-05 17:47:12,Expediente 85,APELADO,Media,Alto,Laura,Primera Instancia,2027-07-20 16:36:22,Favorable,2,3338779.575551609,1500266.752594459,Empresa,209,LABORAL 5,Caso relacionado 85,DRA. CINTIA FIAD,1
FERIA JUDICIAL,207125,Norma Laboral,2022-03-28 06:02:38,Expediente 495,TERMINADO,Media,Moderado,Laura,Segunda Instancia,2028-10-24 22:36:35,Conciliación,3,5647313.58517978,3300807.4186088666,Empresa,1027,COMERCIAL 1,Caso relacionado 495,DR. URQUIZA,1
TERMINADO,171877,Norma Penal,2021-05-01 01:27:30,Expediente 189,APELADO,Alta,Moderado,Mariana,Segunda Instancia,2025-01-31 22:08:42,Conciliación,4,827012.1713423107,3974734.995010568,Empresa,850,CIVIL 2,Caso relacionado 189,DR. PAREDES,1
APELADO,787309,Norma Penal,2021-05-29 00:57:49,Expediente 46,APELADO,Baja,Alto,Agostina,Corte Suprema,2030-10-07 22:34:09,Conciliación,5,3900749.478188738,2034061.5699614987,Empresa,518,PAZ TERCERA,Caso relacionado 46,DRA. CINTIA FIAD,1
TERMINADO,237002,Norma Laboral,2011-06-13 17:21:07,Expediente 121,EN TRÁMITE,Baja,Moderado,Laura,Corte Suprema,2031-05-11 04:42:52,Favorable,6,1636066.837659712,596160.1047419222,Empresa,1490,PAZ TERCERA,Caso relacionado 121,DRA. CINTIA FIAD,1
FERIA JUDICIAL,397616,Norma Civil,1999-12-28 14:51:25,Expediente 245,EN TRÁMITE,Baja,Alto,Laura,Primera Instancia,2029-08-17 21:30:29,Favorable,7,716786.6154740363,303648.56177229394,Persona Física,66,CIVIL 2,Caso relacionado 245,DR. PAREDES,1
FERIA JUDICIAL,521345,Norma Laboral,2005-08-24 00:41:46,Expediente 176,APELADO,Media,Alto,Belén,Corte Suprema,2028-09-08 13:10:42,Conciliación,2,5002840.884192669,591218.1000658445,Empresa,185,COMERCIAL 1,Caso relacionado 176,DR. PAREDES,1
EN TRÁMITE,926987,Norma Penal,2002-05-31 22:45:38,Expediente 71,TERMINADO,Alta,Alto,Mariana,Segunda Instancia,2022-09-21 23:25:30,Desfavorable,6,3821589.361085829,3390585.154338807,Persona Física,1242,CIVIL 2,Caso relacionado 71,DR. URQUIZA,1
TERMINADO,488875,Norma Laboral,2013-01-05 07:52:55,Expediente 177,TERMINADO,Alta,Bajo,Laura,Corte Suprema,2029-02-21 07:35:16,Favorable,4,3055517.9554154333,1030601.2904071978,Empresa,1073,PAZ TERCERA,Caso relacionado 177,DRA. CINTIA FIAD,1
EN TRÁMITE,865931,Norma Laboral,2010-09-05 18:48:51,Expediente 342,APELADO,Alta,Bajo,Mariana,Corte Suprema,2024-02-17 08:46:26,Desfavorable,7,5561237.146350788,1950561.413521295,Persona Física,1324,PAZ TERCERA,Caso relacionado 342,DRA. CINTIA FIAD,1
EN TRÁMITE,197933,Norma Comercial,2027-02-09 03:19:47,Expediente 135,FERIA JUDICIAL,Baja,Alto,Laura,Corte Suprema,2029-08-09 11:01:49,Conciliación,8,3942219.025749105,1054143.1944464103,Organismo Público,1397,LABORAL 5,Caso relacionado 135,DRA. CINTIA FIAD,1
TERMINADO,287831,Norma Comercial,2009-03-19 03:34:03,Expediente 266,FERIA JUDICIAL,Media,Bajo,Laura,Segunda Instancia,2032-04-05 01:51:31,Favorable,4,2286113.238263015,401072.93897333526,Empresa,1223,CIVIL 2,Caso relacionado 266,DRA. CINTIA FIAD,1
APELADO,293125,Norma Laboral,2017-10-16 22:11:07,Expediente 313,EN TRÁMITE,Baja,Moderado,Agostina,Primera Instancia,2027-07-12 11:11:26,Favorable,3,4532314.82142929,4043819.679016117,Empresa,1307,COMERCIAL 1,Caso relacionado 313,DR. URQUIZA,1
EN TRÁMITE,991468,Norma Penal,2014-11-01 05:11:29,Expediente 489,FERIA JUDICIAL,Media,Moderado,Andres,Primera Instancia,2029-06-14 17:51:46,En Proceso,3,2537173.9506089143,1501118.2050733736,Organismo Público,1485,CIVIL 2,Caso relacionado 489,DR. URQUIZA,1
APELADO,201205,Norma Laboral,2006-12-25 07:51:20,Expediente 463,EN TRÁMITE,Baja,Moderado,Belén,Segunda Instancia,2027-12-14 21:03:44,En Proceso,2,4103714.9517572857,2747996.2288791584,Persona Física,1095,COMERCIAL 1,Caso relacionado 463,DRA. CINTIA FIAD,1
